,Close,High,Low,Open,Volume,Dividends,Stock Splits
2020-11-16,291.63,294.29,290.41,294.11,555100,0.0,0.0
2020-11-17,291.54,294.45,288.76,289.4,744500,0.0,0.0
2020-11-18,289.65,295.08,289.37,293.51,1187100,0.0,0.0
2020-11-19,288.6,290.83,286.22,290.23,708100,0.0,0.0
2020-11-20,285.75,289.28,284.61,288.04,776900,0.0,0.0
2020-11-23,285.82,290.22,284.89,288.37,677000,0.0,0.0
2020-11-24,289.07,292.46,287.69,288.63,918600,0.0,0.0
2020-11-25,291.2,292.95,287.08,289.15,698700,0.0,0.0
2020-11-27,286.72,291.96,286.03,291.72,475100,1.45,0.0
2020-11-30,283.19,287.06,280.26,286.03,1154600,0.0,0.0
2020-12-01,282.1,290.32,281.57,284.98,882900,0.0,0.0
2020-12-02,279.92,282.65,278.95,282.1,769500,0.0,0.0
2020-12-03,284.28,285.52,279.87,280.29,992100,0.0,0.0
2020-12-04,287.84,288.27,283.99,284.84,794100,0.0,0.0
2020-12-07,282.01,287.57,279.47,287.44,907100,0.0,0.0
2020-12-08,282.91,289.16,281.44,281.78,764100,0.0,0.0
2020-12-09,284.56,285.48,281.13,283.07,730500,0.0,0.0
2020-12-10,279.6,286.4,279.08,283.04,1166100,0.0,0.0
2020-12-11,281.6,282.2,276.43,279.27,860300,0.0,0.0
2020-12-14,279.19,284.24,279.19,282.92,700300,0.0,0.0
2020-12-15,279.67,281.69,278.96,279.51,885900,0.0,0.0
2020-12-16,282.95,284.89,280.42,281.46,995100,0.0,0.0
2020-12-17,281.71,287.62,280.76,283.2,1295700,0.0,0.0
2020-12-18,284.0,285.72,280.33,281.63,2663200,0.0,0.0
2020-12-21,278.83,280.98,274.29,280.16,1428900,0.0,0.0
2020-12-22,277.62,279.03,276.12,278.67,963200,0.0,0.0
2020-12-23,281.69,283.73,278.78,279.47,787000,0.0,0.0
2020-12-24,280.69,282.08,278.19,281.62,332700,0.0,0.0
2020-12-28,283.9,285.48,280.42,281.55,603900,0.0,0.0
2020-12-29,282.0,285.78,280.27,285.58,524500,0.0,0.0
2020-12-30,283.51,286.27,282.31,282.44,528100,0.0,0.0
2020-12-31,285.49,285.71,281.54,283.51,520500,0.0,0.0
2021-01-04,276.16,285.04,273.81,284.88,1267500,0.0,0.0
2021-01-05,277.87,279.65,275.45,276.62,939900,0.0,0.0
2021-01-06,280.26,283.03,274.71,275.43,952500,0.0,0.0
2021-01-07,274.12,280.08,274.08,278.09,1331000,0.0,0.0
2021-01-08,270.13,275.06,268.51,274.14,2090300,0.0,0.0
2021-01-11,276.14,276.33,269.03,269.6,1220900,0.0,0.0
2021-01-12,278.76,279.71,274.98,276.25,1073900,0.0,0.0
2021-01-13,280.56,281.08,276.05,279.19,1541400,0.0,0.0
2021-01-14,283.9,289.35,282.91,282.97,1375600,0.0,0.0
2021-01-15,281.77,284.37,280.08,283.6,1782800,0.0,0.0
2021-01-19,279.21,284.82,279.06,284.35,1360600,0.0,0.0
2021-01-20,279.93,282.07,278.3,281.07,985800,0.0,0.0
